mapping_id,vip_id,vip_numeric_id,vip_name,capability_domain,canonical_sphere_refs,canonical_sphere_scope,provider_family,provider,provider_category,capability_type,deployment_path,layer,status,region_or_jurisdiction,policy_dialect,evidence_ref,work_context,automation_risk,hitl_required,labor_disclosure_required,union_constraints,truth_seeking_weight,sovereignty_score,provider_primacy_override,provider_primacy_target,notes
R000,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,xAI,Grok-4,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.40,0.50,true,xAI,"Primary truth-seeking router"
R001,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,Anthropic,Claude-3.7,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.20,0.40,false,,"High-clarity reasoning"
R002,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,OpenAI,GPT-4.1,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.10,0.40,false,,"General reasoning"
R003,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,Google,Gemini-2.0,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.05,0.40,false,,"Multimodal reasoning"
R004,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,Model,DeepSeek,R1,model_api,direct,model,existing,CN,CN,,null,null,null,null,null,1.00,1.00,false,,"CN dialect anchor"
R005,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Meta,Llama-3.1,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R006,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Mistral,Mistral-Large,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R007,TruthSeeking,,Truth-Seeking-Core,Foundations,H01;H06;H10;H11,house,OpenWeight,Qwen,Qwen-3.x,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight baseline"
R020,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,Microsoft,OneLake,warehouse,azure,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data lake substrate"
R021,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,S3,storage,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Object storage"
R022,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,Redshift,warehouse,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data warehouse"
R023,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,GCP,BigQuery,warehouse,gcp,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Analytics substrate"
R024,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,DynamoDB,storage,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Key-value substrate"
R025,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,Bedrock-Embeddings,embeddings_api,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Embeddings API"
R026,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,OpenWeight,FAISS,FAISS,library,self_hosted,data,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Vector library"
R027,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,AWS,SageMaker,compute,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"ML training substrate"
R028,DataWater,,Data-Water,Data-Water,H04-S39;H11,mixed,Cloud,Pinecone,Pinecone,vector_db,direct,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Vector database"
R052,Governance,,Governance/Constitution,Constitution,H01;H02;H04,house,Sovereign,EU,EU-Reg,regulation,sovereign,sovereign,existing,EU,EU,"EU AI Act",null,null,null,null,null,1.00,0.90,false,,"Regulatory governance"
R053,Governance,,Governance/Constitution,Constitution,H01;H02;H04,house,Sovereign,GCC,GCC-Reg,regulation,sovereign,sovereign,existing,GCC-High,GCC-High,"GCC High Controls",null,null,null,null,null,1.00,0.95,false,,"High-sovereignty governance"
R054,Governance,,Governance/Constitution,Constitution,H01;H02;H04,house,Sovereign,CN,CN-Reg,regulation,sovereign,sovereign,existing,CN,CN,"CAC Rules",null,null,null,null,null,1.00,1.00,false,,"CN governance"
R055,Governance,,Governance/Constitution,Constitution,H01;H02;H04,house,Sovereign,JP,JP-Reg,regulation,sovereign,sovereign,existing,JP,JP,"APPI",null,null,null,null,null,1.00,0.70,false,,"JP governance"
R070,CyberTrust,,Cyber-Trust,Security,H06-S12;H06-S18,sphere,Security,AWS,GuardDuty,governance,aws,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Threat detection"
R071,CyberTrust,,Cyber-Trust,Security,H06-S12;H06-S18,sphere,Security,Azure,Defender-for-Cloud,governance,azure,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Cloud security posture"
R072,CyberTrust,,Cyber-Trust,Security,H06-S12;H06-S18,sphere,Security,GCP,SCC,governance,gcp,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Security command center"
R073,CyberTrust,,Cyber-Trust,Security,H06-S12;H06-S18,sphere,Security,Wiz,Wiz,governance,direct,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Cloud security platform"
R074,CyberTrust,,Cyber-Trust,Security,H06-S12;H06-S18,sphere,Security,Lacework,Lacework,governance,direct,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Cloud workload protection"
R080,EnergyImpact,,Energy-Impact,Energy,H11-S46;H04-S22,sphere,Cloud,AWS,EC2-HPC,compute,aws,compute,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Compute energy impact"
R081,EnergyImpact,,Energy-Impact,Energy,H11-S46;H04-S22,sphere,Cloud,Azure,Azure-HPC,compute,azure,compute,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Compute energy impact"
R082,EnergyImpact,,Energy-Impact,Energy,H11-S46;H04-S22,sphere,Cloud,GCP,GCP-HPC,compute,gcp,compute,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Compute energy impact"
R090,Identity,,Identity,Identity,H02-S14;H02-S15,sphere,Cloud,Azure,Entra-ID,governance,azure,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Identity management"
R091,Identity,,Identity,Identity,H02-S14;H02-S15,sphere,Cloud,AWS,Cognito,governance,aws,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Identity management"
R092,Identity,,Identity,Identity,H02-S14;H02-S15,sphere,Cloud,GCP,Identity-Platform,governance,gcp,security,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Identity management"
R100,Memory,,Memory,Memory,H02-S20;H11-S33,sphere,Cloud,Azure,Purview,governance,azure,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data lineage and governance"
R101,Memory,,Memory,Memory,H02-S20;H11-S33,sphere,Cloud,AWS,Glue,governance,aws,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data catalog and ETL"
R102,Memory,,Memory,Memory,H02-S20;H11-S33,sphere,Cloud,GCP,Data-Catalog,governance,gcp,data,existing,Global,Global,,null,null,null,null,null,1.00,0.40,false,,"Data catalog"
R110,Alignment,,Alignment,Safety,H12-S01;H12-S02,sphere,Model,Anthropic,Claude-3.7,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.20,0.40,false,,"Alignment-first model"
R111,Alignment,,Alignment,Safety,H12-S01;H12-S02,sphere,Model,OpenAI,GPT-4.1,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.10,0.40,false,,"Safety-tuned model"
R112,Alignment,,Alignment,Safety,H12-S01;H12-S02,sphere,Model,Google,Gemini-2.0,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.05,0.40,false,,"Safety-tuned model"
R120,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,Microsoft,Microsoft-365-Copilot,productivity_app,azure,labor,existing,Global,Global,,email/docs/code,medium,true,true,null,1.00,0.40,false,,"Labor augmentation substrate"
R121,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,Google,Workspace-Gemini,productivity_app,gcp,labor,existing,Global,Global,,email/docs/code,medium,true,true,null,1.00,0.40,false,,"Labor augmentation substrate"
R122,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,Notion,Notion-AI,productivity_app,direct,labor,existing,Global,Global,,email/docs/code,medium,true,true,null,1.00,0.40,false,,"Labor augmentation substrate"
R123,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,GitHub,Copilot,productivity_app,azure,labor,existing,Global,Global,,code,medium,true,true,null,1.00,0.40,false,,"Developer labor substrate"
R124,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,Slack,Slack-AI,productivity_app,direct,labor,existing,Global,Global,,email/docs,medium,true,true,null,1.00,0.40,false,,"Communication labor substrate"
R125,WorkLabor,,Work/Labor/Human-Purpose,Jobs-Labor,H03;H06;H09,house,Application,Manus,Manus-Agent,productivity_app,direct,labor,existing,Global,Global,,code/docs/ops,medium,true,true,null,1.00,0.40,false,,"Autonomous agent substrate"
R130,Creativity,,Creativity,Creative,H09;H10-S07,mixed,Model,OpenAI,GPT-4.1,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.10,0.40,false,,"Generative creativity"
R131,Creativity,,Creativity,Creative,H09;H10-S07,mixed,Model,Google,Gemini-2.0,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.05,0.40,false,,"Multimodal creativity"
R132,Creativity,,Creativity,Creative,H09;H10-S07,mixed,OpenWeight,Meta,Llama-3.1,model_api,self_hosted,model,existing,Global,Global,,null,null,null,null,null,1.00,0.50,false,,"Open-weight creative"
R140,Culture,,Culture,Culture,H09,house,Model,Google,Gemini-2.0,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.05,0.40,false,,"Cultural grounding"
R141,Culture,,Culture,Culture,H09,house,Model,Anthropic,Claude-3.7,model_api,direct,model,existing,Global,Global,,null,null,null,null,null,1.20,0.40,false,,"Cultural sensitivity"
R150,Sovereignty,,Sovereignty,Sovereignty,H01;H02,house,Sovereign,EU,EU-Reg,regulation,sovereign,sovereign,existing,EU,EU,"EU AI Act",null,null,null,null,null,1.00,0.90,false,,"EU sovereignty"
R151,Sovereignty,,Sovereignty,Sovereignty,H01;H02,house,Sovereign,CN,CN-Reg,regulation,sovereign,sovereign,existing,CN,CN,"CAC Rules",null,null,null,null,null,1.00,1.00,false,,"CN sovereignty"
R152,Sovereignty,,Sovereignty,Sovereignty,H01;H02,house,Sovereign,GCC,GCC-Reg,regulation,sovereign,sovereign,existing,GCC-High,GCC-High,"FedRAMP High",null,null,null,null,null,1.00,0.95,false,,"GCC-High sovereignty"
